text,cmp_code,eu_code,pos,manifesto_id,party,date,language,annotations,translation_en,date_full,year
FOR A FAIR DEAL,NA,NA,1,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Manifesto 2024,NA,NA,2,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
This election is our chance to win the change our country desperately needs.,305.1,NA,3,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Every vote for the Liberal Democrats is a vote to elect a strong local champion who will fight for a fair deal for you and your community.,305.1,NA,4,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal where everyone can afford a decent home somewhere safe and clean –,503,NA,5,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
with a comfortable retirement when the time comes.,503,NA,6,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal where every child can go to a good school and have real opportunities to fulfil their potential.,506,NA,7,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"A fair deal where everyone can get the high-quality healthcare they need, when they need it and where they need it.",504,NA,8,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
That is the fair deal the Liberal Democrats are fighting for.,305.1,NA,9,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
For a Fair Deal,H,NA,10,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
This election is our chance to win the change our country desperately needs.,NA,NA,11,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Everywhere I go across our great United Kingdom, I see people from all backgrounds and all walks of life, working hard, raising families, helping others and playing by the rules.",NA,NA,12,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
But they have been let down and taken for granted for far too long by this out-of-touch Conservative Government.,NA,NA,13,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Families and pensioners are struggling with sky-high energy bills, food prices and housing costs – and the Conservatives have only added to the pain, because they just don’t care.",NA,NA,14,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The Conservatives have plunged the NHS into crisis, failing to deliver the new hospitals they promised and making people wait hours for an ambulance, weeks to see a GP or months for urgent cancer treatment.",NA,NA,15,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
They are letting water companies get away with pumping filthy sewage into our rivers and lakes and onto our beaches.,NA,NA,16,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
It’s time for a change.,NA,NA,17,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
These Conservatives have got to go.,NA,NA,18,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"And in so many parts of the country, we have shown that it is the Liberal Democrats who can get them out.",NA,NA,19,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
But this election is about more than a change of government.,NA,NA,20,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We must transform the very nature of British politics itself, so that we can fix the health and care crisis, get our economy back on track, end the appalling sewage scandal, and give people the fair deal they deserve.",NA,NA,21,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Every vote for the Liberal Democrats is a vote to elect a strong local champion who will fight for a fair deal for you and your community.,NA,NA,22,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal where everyone can afford a decent home somewhere safe and clean – with a comfortable retirement when the time comes.,NA,NA,23,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal where every child can go to a good school and have real opportunities to fulfil their potential.,NA,NA,24,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"A fair deal where everyone can get the high-quality healthcare they need, when they need it and where they need it.",NA,NA,25,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
That is the fair deal the Liberal Democrats are fighting for.,NA,NA,26,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
I know we can achieve it.,NA,NA,27,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"So join us, and let’s make it happen!",NA,NA,28,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Ed DaveyLeader of the Liberal Democrats,NA,NA,29,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Our Fair Deal,H,NA,30,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"In so many ways, things in our country are broken.",305.1,NA,31,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The economy, the National Health Service, the climate, the housing market – all are in crisis after years of Conservative neglect.",305.1,NA,32,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Schools are crumbling,506,NA,33,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and clean rivers seem a thing of the past.,501,NA,34,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"The Conservatives have wrecked our relationship with our nearest neighbours in Europe,",305.1,NA,35,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and our political system is simply not fit for purpose.,202.1,NA,36,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Millions of people feel powerless and excluded.,202.1,NA,37,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
It doesn’t have to be this way.,202.1,NA,38,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Britain has overcome big challenges before and we can do it again now.,601.1,NA,39,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"For more than 150 years, Liberals and Liberal Democrats have led the fight for a fair, free and open society:",201.1,NA,40,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"championing free trade,",401,NA,41,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"introducing the state pension and free school meals, laying the foundations of the welfare state and the NHS,",504,NA,42,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"legalising same-sex marriage,",503,NA,43,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and taking urgent action to tackle the climate emergency.,501,NA,44,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Today, our fair deal would give everyone the power to make the most of their potential,",503,NA,45,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and real freedom to decide how they live their lives.,201.1,NA,46,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
It would call the over-powerful to account.,202.1,NA,47,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal on the economy,H,NA,48,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Everyone deserves the chance to get on in life, see their hard work properly rewarded and realise their hopes for the future.",503,NA,49,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Businesses and entrepreneurs should be supported to create worthwhile jobs in every part of the UK.,402,NA,50,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will invest in renewable power and home insulation to drive a strong economic recovery,",416.2,NA,51,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
bring down energy bills,403,NA,52,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"and create clean, secure, well-paid new jobs.",701,NA,53,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will put people first, investing in more apprenticeships and new Lifelong Skills Grants.",411,NA,54,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will overhaul parental leave to give families more choice and flexibility over how to juggle work and home life.,504,NA,55,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will support entrepreneurs,",402,NA,56,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"back small businesses,",402,NA,57,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and reform business rates to help our high streets.,402,NA,58,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will make Britain a world leader in the new infrastructure, businesses and technologies needed to tackle climate change.",411,NA,59,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will manage the public finances with the utmost care and responsibility.,414,NA,60,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will fix the UK’s broken relationship with Europe,108,NA,61,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and tear down the Conservatives’ damaging barriers to trade.,108,NA,62,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal on public services,H,NA,63,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Everyone should receive the care they need when they are ill or frail, and a helping hand when they fall on tough times.",504,NA,64,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"A strong NHS – open to all, regardless of wealth – gives people the freedom they need to live their lives as they choose.",504,NA,65,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
Every child deserves the best possible start in life.,503,NA,66,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We know that education is the best possible investment in our country’s future.,506,NA,67,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Liberal Democrats will give everyone a new right to see a GP within seven days, or 24 hours if it’s urgent, with the extra doctors needed to make it happen.",504,NA,68,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will invest in improving public health, expanding early access to health services,",504,NA,69,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and fixing social care,504,NA,70,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"We will give every child the support they need with more specialist teachers,",506,NA,71,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"free school meals for all children in poverty,",504,NA,72,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
and a dedicated mental health professional in every school.,504,NA,73,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will repair the broken safety net that currently consigns so many to poverty.,504,NA,74,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
We will restore community policing and ensure that every burglary is properly investigated.,605.1,NA,75,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"And we will fund public services through fair taxes, such as reversing the Conservatives’ tax cuts for big banks.",503,NA,76,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
A fair deal on the environment,H,NA,77,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
"Everyone should be able to enjoy the benefits of our wonderful natural environment, and our children should inherit the future they deserve.",501,NA,78,51421_202407,Labour,202407,english,TRUE,FALSE,2024-07-01,2024
